 altitude/km, CS2+OH->SH+COS, CS2+O->CS+SO, CS2+O->COS+S, CS2+O->CO+S2, CS2+OH->SCSOH, SCSOH+O2->COS+HSO2, CS2E+O2->CS2, CS2E+N2->CS2, CS2E+O2->CS+SO2, S2+O->S+SO, CS+SO->CS2+O, COS+S->CS2+O, CO+S2->CS2+O, COS+HSO2->SCSOH+O2, S+SO->S2+O, COS->CO+S, CS2->CS+S, CS2->CS2E, SO2->SO+O, SO3->SO2+O, H2S->SH+H, SO->S+O
           1   1.5607417934365841E-015   3.2921571626613220E-012   2.8931078096114645E-013   1.1971480591495714E-013   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   2.9689020906112876E-029   5.2701925843622440E-056   1.7898537610489195E-079   8.0627296284215707E-076   2.5328544252178171E-029   1.5323538530831788E-031   9.4779422630927588E-032   1.7006650528566603E-004   3.2637640488015690E-031   3.0325679223316460E-007   7.4731704278285568E-031   5.9964704559900638E-031
           2   1.4005205685074953E-015   3.1045575145224376E-012   2.7282475127621423E-013   1.1289300052808862E-013   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   1.1442093692176157E-029   4.0676398612222494E-057   3.8726999347220835E-081   1.9727843803027762E-077   8.9305115392858559E-030   4.6747493876951713E-029   1.3487690117342675E-028   1.7045138650574794E-004   2.1335815004707258E-028   3.0440120030250592E-007   2.7625898103984846E-028   2.3786707628336910E-028
           3   1.2706312484929756E-015   2.9451233010124636E-012   2.5881386584654985E-013   1.0709539276408958E-013   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   4.8596686603498378E-030   4.0716141013073688E-058   1.2365736700775310E-082   7.0365010687722592E-079   3.5000945132534211E-030   1.0702064257089974E-026   1.6786146970334308E-025   1.7080396284788456E-004   1.1551557762507197E-025   3.0545387592169038E-007   9.4996292128047019E-026   9.8788301899450789E-026
           4   1.1278663861178520E-015   2.7609961290368460E-012   2.4263299315778342E-013   1.0039985923770348E-013   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   1.7038114460445773E-030   2.4311541292077123E-059   1.8226666671809378E-084   1.1879991833019048E-080   1.1116113765395507E-030   2.1309286707737239E-024   1.1366730131219305E-022   1.7113352972266392E-004   4.5931160094848324E-023   3.0644161509847755E-007   3.0715305269479665E-023   3.7443691049664162E-023
           5   1.0130649764364954E-015   2.6050322664101259E-012   2.2892707795725348E-013   9.4728446051277290E-014   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   6.6320348351187696E-031   1.9209187778548798E-060   4.0856907444297564E-086   3.0101330291809124E-082   3.9565906737038785E-031   3.2954961561894699E-022   3.7750148600267996E-020   1.7145999074780059E-004   1.0793395137348084E-020   3.0742365421446626E-007   6.7713822868253106E-021   8.9678312449118850E-021
           6   8.8798827257103946E-016   2.4255681713213960E-012   2.1315599081309239E-013   8.8202478957141674E-014   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   2.0837754798306196E-031   8.5200326012611715E-062   3.8603038470481352E-088   3.3066214643299937E-084   1.1132947647509805E-031   3.2672406909894248E-020   6.2726909553755186E-018   1.7178794080737511E-004   1.3881920875033077E-018   3.0841381326635640E-007   8.5749910932522597E-019   1.1884432407560137E-018
           7   7.8836725413736564E-016   2.2741592919942872E-012   1.9985036202374037E-013   8.2696701527064979E-014   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   7.3287654243939224E-032   5.1134148084908534E-063   5.7348326797844670E-090   5.6297783266128115E-086   3.5427148153693825E-032   1.9291573056039627E-018   5.4770320879661154E-016   1.7214540048962414E-004   9.8885375016973548E-017   3.0949725501351680E-007   6.1224394022231766E-017   8.7207673893061099E-017
           8   6.8095068098283729E-016   2.1006992664596135E-012   1.8460690523432966E-013   7.6389064234895017E-014   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   2.0260518191425798E-032   1.6030800792227438E-064   3.2242474674722820E-092   3.7447596557463248E-088   8.6545881772032921E-033   6.7628170110014380E-017   2.6250823115807556E-014   1.7258328112954287E-004   4.0196642551420837E-015   3.1083044713199687E-007   2.5145838162042254E-015   3.6406067176222940E-015
           9   5.9635989794285183E-016   1.9550594554010500E-012   1.7180825517160741E-013   7.1093071105492715E-014   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   6.3269738400290193E-033   6.9706346442710416E-066   2.9574553613184425E-094   4.0011121209198676E-090   2.4152522868599339E-033   1.4240903064547090E-015   7.1175478528271754E-013   1.7312374291305669E-004   9.5438163279249987E-014   3.1248516495806170E-007   6.0526442940202701E-014   8.8410507838122986E-014
          10   5.3107449932145858E-016   1.8360539431688128E-012   1.6135019500574416E-013   6.6765597933411367E-014   7.9999999999999998E-012   2.8000000000000000E-011   2.5000000000000001E-011   2.5000000000000001E-011   1.2499999999999999E-012   1.6600000000000000E-011   2.2884392984837230E-033   4.4992408940293645E-067   4.8988002882386897E-096   7.5749518920072725E-092   7.9157279823671915E-034   1.9270306683178704E-014   1.1802846325554124E-011   1.7386105318979882E-004   1.4228726409194670E-012   3.1475925891814137E-007   9.1550911809326777E-013   1.3426217388181852E-012
