 #layer COS S2 O3 O2 NO2 NO HSO HO2 HSO2 HSO3 CS2 CH4O3S CO H O N S SO2 SO4 CS N2 CO2 SCSOH OH H2 H2SO4 SO3 H2S H2O SH SO CS2E CH3SCH3
   11  0.20301219E+010  0.43654107E+004  0.19600000E+013  0.10400000E+019  0.45800000E+009  0.00000000E+000  0.55346622E-003  0.46600000E+008  0.15897023E-006  0.16239547E-003  0.19746750E+006  0.00000000E+000  0.10000000E+013  0.00000000E+000  0.27100000E+005  0.00000000E+000  0.13155362E-008  0.67763388E+008  0.38044650E+008  0.10478002E+001  0.47500000E+019  0.15400000E+016  0.17722233E-005  0.78600000E+006  0.00000000E+000  0.22618560E+008  0.42645879E+003  0.59090058E+005  0.96400000E+014  0.16898646E-001  0.14057974E-001  0.23637099E-006  0.90657036E+003
   12  0.17384126E+010  0.23661147E+004  0.22100000E+013  0.87900000E+018  0.61000000E+009  0.00000000E+000  0.46627233E-003  0.43900000E+008  0.68135048E-007  0.10169213E-003  0.73580125E+005  0.00000000E+000  0.90000000E+012  0.00000000E+000  0.41700000E+005  0.00000000E+000  0.20806452E-008  0.36997503E+008  0.58939380E+008  0.45996515E+000  0.41500000E+019  0.13100000E+016  0.75957943E-006  0.78600000E+006  0.00000000E+000  0.13881279E+008  0.42376850E+003  0.15589006E+005  0.51000000E+014  0.15614979E-001  0.20112910E-001  0.10212284E-006  0.85628001E+002
   13  0.14658941E+010  0.86481887E+003  0.24200000E+013  0.74400000E+018  0.85800000E+009  0.00000000E+000  0.40740143E-003  0.42600000E+008  0.19680444E-007  0.50825233E-004  0.19364085E+005  0.00000000E+000  0.80000000E+012  0.00000000E+000  0.62600000E+005  0.00000000E+000  0.59681764E-008  0.16866962E+008  0.10011546E+009  0.14411917E+000  0.36200000E+019  0.11100000E+016  0.21940042E-006  0.75400000E+006  0.00000000E+000  0.22989470E+003  0.33021794E+003  0.27709011E+004  0.27500000E+014  0.14695382E-001  0.30663368E-001  0.31219363E-007  0.44024803E+001
   14  0.12111872E+010  0.19251082E+003  0.27300000E+013  0.62800000E+018  0.10900000E+010  0.00000000E+000  0.35135146E-003  0.42600000E+008  0.39915814E-008  0.22135470E-004  0.37492899E+004  0.00000000E+000  0.66000000E+012  0.00000000E+000  0.97200000E+005  0.00000000E+000  0.21999314E-007  0.69992028E+007  0.12523821E+009  0.34011534E-001  0.31600000E+019  0.94100000E+015  0.44498704E-007  0.69200000E+006  0.00000000E+000  0.31297914E+003  0.13759101E+003  0.37362428E+003  0.24100000E+014  0.13268099E-001  0.53332376E-001  0.70257231E-008  0.13845679E+000
   15  0.97915248E+009  0.27014500E+002  0.30500000E+013  0.52900000E+018  0.13400000E+010  0.00000000E+000  0.30745814E-003  0.45200000E+008  0.66289721E-009  0.10867245E-004  0.58381515E+003  0.00000000E+000  0.50300000E+012  0.00000000E+000  0.15000000E+006  0.00000000E+000  0.72556448E-007  0.32038376E+007  0.14617026E+009  0.67549619E-002  0.27600000E+019  0.79600000E+015  0.73900577E-008  0.64900000E+006  0.00000000E+000  0.43463452E+003  0.65171698E+002  0.43535383E+002  0.20900000E+014  0.11815303E-001  0.10231153E+000  0.12727517E-008  0.29756189E-002
   16  0.77373838E+009  0.24955955E+001  0.33400000E+013  0.45200000E+018  0.16500000E+010  0.00000000E+000  0.28114777E-003  0.48000000E+008  0.91268577E-010  0.77223181E-005  0.72585196E+002  0.00000000E+000  0.34800000E+012  0.00000000E+000  0.22800000E+006  0.00000000E+000  0.19903934E-006  0.20767097E+007  0.16384067E+009  0.11593551E-002  0.24100000E+019  0.68000000E+015  0.10174606E-008  0.64200000E+006  0.00000000E+000  0.59499275E+003  0.45454438E+002  0.45281928E+001  0.18200000E+014  0.10879558E-001  0.20257461E+000  0.18391629E-009  0.44898925E-004
   17  0.59722977E+009  0.15745495E+000  0.38100000E+013  0.38600000E+018  0.18800000E+010  0.00000000E+000  0.26254019E-003  0.52500000E+008  0.10031314E-010  0.87934644E-005  0.69330713E+001  0.00000000E+000  0.22000000E+012  0.00000000E+000  0.36200000E+006  0.00000000E+000  0.47272464E-006  0.20704517E+007  0.17461319E+009  0.17418994E-003  0.21100000E+019  0.58000000E+015  0.11181142E-009  0.66300000E+006  0.00000000E+000  0.80496585E+003  0.50937955E+002  0.43525674E+000  0.15800000E+014  0.96228646E-002  0.42674872E+000  0.20398237E-010  0.47547092E-006
   18  0.44677048E+009  0.73439317E-002  0.41900000E+013  0.33000000E+018  0.20300000E+010  0.00000000E+000  0.25310787E-003  0.54100000E+008  0.83227909E-012  0.12976967E-004  0.47051793E+000  0.00000000E+000  0.16600000E+012  0.00000000E+000  0.55800000E+006  0.00000000E+000  0.98872055E-006  0.25177519E+007  0.17805128E+009  0.21132579E-004  0.18400000E+019  0.49600000E+015  0.92502958E-011  0.73000000E+006  0.00000000E+000  0.11312191E+004  0.69106075E+002  0.38166959E-001  0.14700000E+014  0.85619638E-002  0.91377870E+000  0.16157128E-011  0.36052570E-008
   19  0.32501700E+009  0.26428012E-003  0.45100000E+013  0.28100000E+018  0.22000000E+010  0.00000000E+000  0.24338746E-003  0.57400000E+008  0.51015898E-013  0.20130862E-004  0.21519631E-001  0.00000000E+000  0.11500000E+012  0.00000000E+000  0.85200000E+006  0.00000000E+000  0.18618617E-005  0.31446862E+007  0.17620268E+009  0.18981218E-005  0.16100000E+019  0.42400000E+015  0.52504063E-012  0.82100000E+006  0.00000000E+000  0.15616113E+004  0.91334056E+002  0.30914201E-002  0.14700000E+014  0.74104914E-002  0.19874283E+001  0.86204825E-013  0.20220300E-010
   20  0.22960280E+009  0.74552884E-005  0.46700000E+013  0.24000000E+018  0.23200000E+010  0.00000000E+000  0.23899414E-003  0.59200000E+008  0.74827261E-014  0.31176650E-004  0.65492460E-003  0.00000000E+000  0.89800000E+011  0.00000000E+000  0.12600000E+007  0.00000000E+000  0.31627307E-005  0.37350314E+007  0.16820277E+009  0.11707390E-006  0.14100000E+019  0.36200000E+015  0.20753484E-013  0.97400000E+006  0.00000000E+000  0.22121327E+004  0.11923983E+003  0.22724264E-003  0.14900000E+014  0.65528150E-002  0.42353852E+001  0.30617260E-014  0.87900040E-013
